Time;ETH / Realized Market Cap (USD)
2017-06-28;14652678754.871574
2017-06-29;15047827725.609919
2017-06-30;14810770752.014872
2017-07-01;14833551025.226057
2017-07-02;14787939465.718634
2017-07-03;14770724003.008486
2017-07-04;14729250664.591589
2017-07-05;14762834613.055622
2017-07-06;14769423934.385925
2017-07-07;14669074497.662449
2017-07-08;14687195345.289408
2017-07-09;14639333700.341072
2017-07-10;14337994469.897095
2017-07-11;14177734917.334396
2017-07-12;13840053203.547106
2017-07-13;13599731768.372137
2017-07-14;13500658342.10572
2017-07-15;13391649271.711836
2017-07-16;13047400833.450981
2017-07-17;13126464184.179747
2017-07-18;13426803297.079052
2017-07-19;13169370168.973524
2017-07-20;13342515938.638304
2017-07-21;13335336905.372246
2017-07-22;13463462811.125679
2017-07-23;13547840346.434576
2017-07-24;13549733943.358746
2017-07-25;13492151403.890089
2017-07-26;13454677989.19894
2017-07-27;13422621304.851261
2017-07-28;13350042652.279171
2017-07-29;13446354973.61176
2017-07-30;13419757375.905571
2017-07-31;13388345876.78828
2017-08-01;13422762143.801376
2017-08-02;13424395986.333838
2017-08-03;13408309224.177416
2017-08-04;13408459960.12103
2017-08-05;13573059162.131983
2017-08-06;13716681781.250422
2017-08-07;13997628441.18717
2017-08-08;14175270735.937923
2017-08-09;14591361037.992146
2017-08-10;14837444114.383701
2017-08-11;15075741201.88819
2017-08-12;15131391150.405655
2017-08-13;15115002530.445896
2017-08-14;15158328954.434092
2017-08-15;15173536307.514439
2017-08-16;15356232940.727386
2017-08-17;15446508424.721424
2017-08-18;15447948059.103859
2017-08-19;15479066317.839441
2017-08-20;15561482387.020777
2017-08-21;15787078660.038624
2017-08-22;15838777426.144598
2017-08-23;15931609710.254652
2017-08-24;16118268592.22372
2017-08-25;16281832237.571926
2017-08-26;16342229863.603617
2017-08-27;16565633930.316381
2017-08-28;16697733127.699474
2017-08-29;16966421173.987638
2017-08-30;17390403439.427525
2017-08-31;17837523807.193687
2017-09-01;17951555263.918064
2017-09-02;17961830345.14989
2017-09-03;18003168112.038593
2017-09-04;17819170782.408417
2017-09-05;17801096212.671993
2017-09-06;17983879667.36587
2017-09-07;18025169583.462063
2017-09-08;17894192228.012238
2017-09-09;17786786176.506912
2017-09-10;17771801343.482616
2017-09-11;17735565967.173252
2017-09-12;17665907466.729446
2017-09-13;17575089754.375416
2017-09-14;16712749127.219976
2017-09-15;16846723708.567108
2017-09-16;16800481415.874138
2017-09-17;16828845086.788118
2017-09-18;16996872327.319149
2017-09-19;16975370410.427176
2017-09-20;17008937677.08716
2017-09-21;16872885303.371595
2017-09-22;16862679740.244665
2017-09-23;16967660576.464674
2017-09-24;17010621247.989494
2017-09-25;17063620912.528315
2017-09-26;17100219065.275953
2017-09-27;17228659444.29241
2017-09-28;17318700722.319508
2017-09-29;17296250969.43995
2017-09-30;17341089349.5847
2017-10-01;17436615979.014503
2017-10-02;17394006966.918625
2017-10-03;17327204344.400936
2017-10-04;17340736890.91559
2017-10-05;17358106766.90459
2017-10-06;17426434594.084976
2017-10-07;17467777291.400436
2017-10-08;17483613939.391792
2017-10-09;17459388271.913334
2017-10-10;17451698257.46166
2017-10-11;17480319663.05584
2017-10-12;17506836794.10488
2017-10-13;17681227696.253117
2017-10-14;17933434292.600754
2017-10-15;18008297384.39869
2017-10-16;18100673820.92899
2017-10-17;18341551619.065674
2017-10-18;18332576318.635048
2017-10-19;18324377790.16561
2017-10-20;18330461166.789143
2017-10-21;18308001775.43065
2017-10-22;18285622146.990543
2017-10-23;18211161022.265106
2017-10-24;18250417187.947258
2017-10-25;18244808295.14472
2017-10-26;18268281246.73894
2017-10-27;18261006863.530006
2017-10-28;18258436203.457115
2017-10-29;18320282027.241783
2017-10-30;18358088353.297943
2017-10-31;18379540776.59725
2017-11-01;18358909438.61169
2017-11-02;18302254315.59672
2017-11-03;18374677082.73398
2017-11-04;18372848448.95849
2017-11-05;18386904957.55405
2017-11-06;18413656439.724728
2017-11-07;18391685869.70793
2017-11-08;18536332253.415207
2017-11-09;18672629276.766445
2017-11-10;18593108558.85901
2017-11-11;18681119606.620888
2017-11-12;18668130848.354046
2017-11-13;18763488684.545944
2017-11-14;18985687330.195557
2017-11-15;19003306569.985134
2017-11-16;19063856309.982037
2017-11-17;19117527655.507824
2017-11-18;19204966398.257156
2017-11-19;19291018584.79765
2017-11-20;19624868692.839523
2017-11-21;19684112140.75659
2017-11-22;20041357959.267696
2017-11-23;20350526838.678093
2017-11-24;20858162638.090492
2017-11-25;21031495807.687668
2017-11-26;21210803477.28122
2017-11-27;21873205270.53021
2017-11-28;21994892064.271538
2017-11-29;21987547060.45657
2017-11-30;22081232308.29921
2017-12-01;22251844888.985085
2017-12-02;22349801998.57535
2017-12-03;22502215120.891685
2017-12-04;23042132066.69015
2017-12-05;23114240485.841187
2017-12-06;23135649888.447086
2017-12-07;23359828029.477455
2017-12-08;23548105583.399315
2017-12-09;23752914096.82587
2017-12-10;23655501044.942192
2017-12-11;24119180909.11425
2017-12-12;25711110593.139893
2017-12-13;26853482144.624035
2017-12-14;28233142521.94335
2017-12-15;28473542712.656998
2017-12-16;29192010189.576378
2017-12-17;29634841111.99556
2017-12-18;30975587338.19383
2017-12-19;31971875436.53076
2017-12-20;32337325027.76532
2017-12-21;32798422004.483646
2017-12-22;32458410561.14531
2017-12-23;32880038912.597385
2017-12-24;32832387718.512688
2017-12-25;33253666328.17427
2017-12-26;33546631884.13622
2017-12-27;33657795865.119125
2017-12-28;33703955013.417004
2017-12-29;34190496460.969555
2017-12-30;34165674650.18472
2017-12-31;34452634332.23552
2018-01-01;34656164511.882904
2018-01-02;35812446866.85094
2018-01-03;36867135228.694435
2018-01-04;37927637894.41481
2018-01-05;39013909103.94004
2018-01-06;40339475641.17627
2018-01-07;41726315606.74591
2018-01-08;43876530651.827126
2018-01-09;46217920786.13977
2018-01-10;47299532722.97346
2018-01-11;47297291971.031364
2018-01-12;49278030871.57524
2018-01-13;51294242616.76144
2018-01-14;52397671368.26382
2018-01-15;52802756791.887695
2018-01-16;51414878888.06051
2018-01-17;50784865306.79538
2018-01-18;50749022896.35863
2018-01-19;50898255198.599174
2018-01-20;51718315219.675545
2018-01-21;51274625645.28641
2018-01-22;51062477905.16871
2018-01-23;50375072419.14463
2018-01-24;51223300728.94795
2018-01-25;51619680069.645454
2018-01-26;51852244370.549164
2018-01-27;52250288521.81667
2018-01-28;53663396661.21717
2018-01-29;53883886567.70279
2018-01-30;53213015759.28525
2018-01-31;53716954680.26571
2018-02-01;53280209864.0636
2018-02-02;52564470456.8508
2018-02-03;52749461813.26039
2018-02-04;52089093068.12555
2018-02-05;50780155780.49854
2018-02-06;50920628966.083305
2018-02-07;50212484230.62042
2018-02-08;50384484747.60884
2018-02-09;50834671099.307106
2018-02-10;50805073229.26883
2018-02-11;50538732929.78081
2018-02-12;50331770399.934975
